Dataset,Method,NumSelected,AccuracyMean,AccuracyStd
basehock,ICLFS-sfs-blended,300,0.8633165829145728,0.04111707520467665
pcmac,ICLFS-sfs-blended,300,0.815979381443299,0.02265990169106527
prostate_ge,ICLFS-sfs-blended,200,0.8699999999999999,0.02738612787525833
tox,ICLFS-sfs-blended,250,0.9,0.026306682088232818
madelon,ICLFS-sfs-blended,300,0.5883333333333333,0.018295415333416776
isolet,ICLFS-sfs-blended,300,0.9096153846153847,0.019938885916661292
coil20,ICLFS-sfs-blended,300,0.9888888888888889,0.0038036288715636805
usps,ICLFS-sfs-blended,250,0.9747175901022054,0.0006588191884838922
