Dataset,Method,NumSelected,AccuracyMean,AccuracyStd,NMIMean,NMIStd
basehock,CAE,250,0.5144254892122428,0.011166610940999744,0.02060487382901343,0.021483274239384155
basehock,MCFS,250,0.5120923231309583,0.012733538975949794,0.010301489257136792,0.007597872927871395
basehock,LSCAE,50,0.5094581033617661,0.010005318258348222,0.008042066793315032,0.007813168098096668
basehock,LS,300,0.5087305569493227,0.011464771113495004,0.008062272004153406,0.010104919054208726
basehock,NDFS,100,0.506823883592574,0.007178620821858191,0.007767110217823943,0.008792996261675543
