Dataset,Method,NumSelected,AccuracyMean,AccuracyStd,NMIMean,NMIStd
gisette,LSCAE,200,0.7598142857142858,0.0022053275012467173,0.21940890881042874,0.0036649707077140836
gisette,MCFS,150,0.6387428571428571,0.09141945936736014,0.10487644494638063,0.07003217087914758
gisette,NDFS,300,0.6212928571428572,0.06195468184117175,0.0677191636511346,0.03857092321198557
gisette,LS,250,0.5907642857142857,0.062385802201514816,0.03777677476065437,0.03261185016007017
gisette,CAE,50,0.5650714285714286,0.0004437778447716878,0.012274300651116513,0.00015970761825306363
