Method,NumSelected,AccuracyMean,AccuracyStd,NMIMean,NMIStd
SSFS,300,0.8020833333333334,0.02234126103075753,0.3022663967275549,0.06290011345436265
SSFS,250,0.7979166666666666,0.014214923257263009,0.2879967650876005,0.0422536887919128
SSFS,50,0.7916666666666665,1.1102230246251565e-16,0.22851615634786962,0.008594002134673224
SSFS,100,0.7881944444444444,0.04808745729795576,0.23447839583892463,0.08563607065547418
SSFS,200,0.7875,0.04192052297996268,0.261866225100129,0.06444092841209277
SSFS,150,0.7826388888888889,0.05051337526088425,0.25414697869687847,0.0906208369671877
