Dataset,Method,NumSelected,AccuracyMean,AccuracyStd,NMIMean,NMIStd
pcmac,CAE,100,0.5130725681935153,0.009911736806404971,0.015492481368243133,0.011810414086638186
pcmac,NDFS,300,0.508080288214102,0.006965343148005017,0.004260992889737568,0.00416542570416521
pcmac,LSCAE,200,0.507771487390633,0.007400131809712971,0.008608115144307513,0.014367172218505015
pcmac,MCFS,150,0.5067421513124035,0.004681499244988918,0.004963361716882062,0.006174818796627138
pcmac,LS,300,0.5060730828615544,0.0027815891130976143,0.00229790288404741,0.0022004758882655517
