Dataset,Method,NumSelected,AccuracyMean,AccuracyStd,NMIMean,NMIStd
relathe,CAE,250,0.5587245970567625,0.010323237057366914,0.010219299510647359,0.004177802812052286
relathe,LSCAE,300,0.5545550105115626,0.010607538950795609,0.008163587048541355,0.0050050284351631
relathe,MCFS,250,0.5494393833216538,0.012632305697614959,0.012377193492613492,0.019758518869252353
relathe,NDFS,300,0.5457252978276104,0.014765950169407235,0.008743513803422476,0.01308489836769756
relathe,LS,100,0.5423265592151367,0.009438059203684164,0.006376769135085239,0.007331100378374857
