Dataset,Method,NumSelected,AccuracyMean,AccuracyStd,NMIMean,NMIStd
coil20,LSCAE,250,0.6476041666666668,0.041373083181700104,0.7741690422804173,0.018714662843272622
coil20,CAE,250,0.6406944444444445,0.030793267261561827,0.7712487678549567,0.014141103609545576
coil20,MCFS,200,0.6078125,0.03028118211620773,0.7567156047760683,0.01234562109916213
coil20,NDFS,300,0.5786111111111112,0.04476210264647243,0.7057142670142159,0.023455689832354847
coil20,LS,300,0.563125,0.022105705823118875,0.7161619416437365,0.011766076192101876
