Dataset,Method,NumSelected,AccuracyMean,AccuracyStd,NMIMean,NMIStd
lung,MCFS,100,0.5926108374384236,0.04188930383900964,0.5346119985704636,0.03946919758307015
lung,LSCAE,200,0.5726600985221675,0.04768093764188654,0.507623808667188,0.031312778611788675
lung,LS,250,0.5706896551724138,0.04201005901112699,0.46410199557072895,0.034399791561063195
lung,NDFS,150,0.5453201970443349,0.056534471544871366,0.43637467099011007,0.04052066859682813
lung,CAE,250,0.5342364532019703,0.05212081064859691,0.40938423143845054,0.0459800076849467
