Dataset,Method,NumSelected,AccuracyMean,AccuracyStd,NMIMean,NMIStd
tox171,CAE,300,0.502046783625731,0.037685283180308136,0.29202869726545216,0.030151499505002552
tox171,LSCAE,50,0.4976608187134503,0.02882157083123183,0.251467784069061,0.034893058141921784
tox171,LS,150,0.4909356725146199,0.02961600050756497,0.3079650873762419,0.029169049587805584
tox171,MCFS,200,0.4730994152046783,0.031757132122539104,0.24645405452199767,0.03778883455415708
tox171,NDFS,200,0.4707602339181286,0.03417426978640231,0.26162995868311956,0.03261408817817869
