Dataset,Method,NumSelected,AccuracyMean,AccuracyStd,NMIMean,NMIStd
warppie10p,NDFS,50,0.39642857142857146,0.03257208994037534,0.39833747279117754,0.029302271488867406
warppie10p,LS,100,0.3742857142857143,0.030838618778461294,0.37906464776198723,0.03212352510855226
warppie10p,LSCAE,100,0.3257142857142856,0.020225486268186002,0.3024259213657968,0.018481025316728576
warppie10p,MCFS,200,0.31571428571428567,0.027359204613758528,0.35551334395409995,0.03690642293770495
warppie10p,CAE,250,0.28357142857142853,0.014713823386171797,0.30669347682443454,0.016623980627375128
