Dataset,Method,NumSelected,AccuracyMean,AccuracyStd,NMIMean,NMIStd
arcene,NDFS,100,0.647,0.022383029285599414,0.07405612194717329,0.02653129421705256
arcene,LSCAE,300,0.6469999999999999,0.027404379212089467,0.0798747945342898,0.022858642200507213
arcene,MCFS,250,0.639,0.021424285285628564,0.0686862323401322,0.024517813288166972
arcene,LS,100,0.63875,0.027380421837510126,0.06918686087102194,0.02935917085523957
arcene,CAE,300,0.6242500000000001,0.01726810643932914,0.05940707059215293,0.021353104309928376
